423,2306,Shivpuri,423,Shivpuri,Shivpuri,9,,,,,0,1,1,2,1,2,2,9,1,
184,953,Siddharthnagar,184,Siddharthnagar,Siddharthnagar,9,,,,,0,1,1,2,2,1,2,9,1,
208,1006,Supaul,208,Supaul,Supaul,8,,,,,0,2,1,1,2,1,2,9,1,
273,1402,Tamenglong,273,Tamenglong ,Tamenglong,8,,,,,0,1,2,1,1,2,2,9,1,
431,2314,Umaria,431,Umaria,Umaria,9,,,,,0,1,1,2,1,2,2,9,1,
399,2130,Malkangiri,399,Malkangiri  ,Malkangiri,7,Malkangiri,"[""Malkangiri""]",100000,100000,100000,3,1,1,1,1,2,9,1,
1,101,Kupwara,1,Kupwara,Kupwara,8,Kupwara,"[""Kupwara""]",200000,200000,200000,2,1,1,1,3,1,9,1,
454,2337,Mandla,454,Mandla,Mandla,9,Mandla,"[""Mandla""]",500000,500000,500000,1,1,2,1,2,2,9,1,
424,2307,Tikamgarh,424,Tikamgarh,Tikamgarh,9,Tikamgarh,"[""Tikamgarh""]",800000,800000,800000,1,1,2,1,2,2,9,1,
183,952,Gonda,183,Gonda,Gonda,7,Gonda,"[""Gonda""]",1300000,1300000,1300000,3,1,1,1,1,2,9,1,
419,2302,Morena,419,Morena,Morena,9,Morena,"[""Morena""]",1700000,1700000,1700000,1,1,2,2,1,2,9,1,
219,1017,Saran,219,Saran,Saran,8,Saran,"[""Saran""]",2500000,2500000,2500000,2,1,1,2,1,2,9,1,
272,1401,Senapati,272,Senapati,Senapati (Excluding 3 Sub-Divisions),9,Senapati,"[""Senapati""]",2900000,2900000,2900000,1,2,1,1,3,1,9,1,
441,2324,Barwani,441,Barwani ,Barwani,9,Barwani,"[""Barwani""]",3200000,3200000,3200000,1,1,1,1,3,2,9,1,
457,2340,Balaghat,457,Balaghat,Balaghat,9,Balaghat,"[""Balaghat""]",3500000,3500000,3500000,1,1,2,1,2,2,9,1,
300,1801,Kokrajhar,300,Kokrajhar,Kokrajhar,7,Kokrajhar,"[""Kokrajhar""]",4700000,4700000,4700000,2,1,1,1,2,2,9,1,
402,2203,Jashpur,402,Jashpur ,Jashpur,9,Jashpur,"[""Jashpur""]",6400000,6400000,6400000,1,1,2,1,2,2,9,1,
388,2119,Ganjam,388,Ganjam,Ganjam,8,Ganjam,"[""Ganjam""]",7500000,7500000,7500000,2,1,1,1,2,2,9,1,
305,1806,Nagaon,305,Nagaon,Nagaon,8,Nagaon,"[""Nagaon""]",11400000,11400000,11400000,1,2,1,1,2,2,9,1,
151,920,Pilibhit,151,Pilibhit,Pilibhit,8,Pilibhit,"[""Pilibhit""]",11900000,11900000,11900000,3,1,1,1,1,2,9,1,
340,1914,Purulia,340,Puruliya,Puruliya,7,Purulia,"[""Purulia""]",12300000,12300000,12300000,2,1,1,1,2,2,9,1,
187,956,Maharajganj,187,Mahrajganj,Mahrajganj,7,Maharajganj,"[""Maharajganj""]",14400000,14400000,14400000,3,1,1,1,1,2,9,1,
306,1807,Sonitpur,306,Sonitpur,Sonitpur,7,Sonitpur,"[""Sonitpur""]",19300000,19300000,19300000,2,2,1,1,2,1,9,1,
325,1826,Darrang,325,Darrang,Darrang,7,Darrang,"[""Darrang""]",1100000,20500000,20500000,2,1,1,1,2,2,9,1,Udalguri
200,969,Sonbhadra,200,Sonbhadra,Sonbhadra,8,Sonbhadra,"[""Sonbhadra""]",22800000,22800000,22800000,1,1,2,1,2,2,9,1,
158,927,Rae Bareli,158,Rae Bareli,Rae Bareli,7,Rae Bareli,"[""RaeBareli"",""Rae Bareli""]",33200000,33200000,33200000,3,1,1,1,1,2,9,1,
413,2214,Kanker,413,Uttar Bastar Kanker,Kanker,9,Kanker,"[""Kanker"",""North Bastar""]",34300000,34300000,34300000,1,1,2,1,2,2,9,1,
301,1802,Dhubri,301,Dhubri,Dhubri,7,Dhubri,"[""Dhubri""]",37100000,37100000,37100000,2,1,1,1,2,2,9,1,
464,2347,Jhabua,464,Jhabua,Jhabua,8,Jhabua,"[""Jhabua""]",39900000,39900000,39900000,1,1,1,1,3,2,9,1,Alirajpur
114,816,Jaisalmer,114,Jaisalmer,Jaisalmer,7,Jaisalmer,"[""Jaisalmer""]",55100000,55100000,55100000,2,1,1,1,2,2,9,1,
220,1018,Vaishali,220,Vaishali,Vaishali,8,Vaishali,"[""Vaishali""]",56800000,56800000,56800000,2,1,1,2,1,2,9,1,
414,2215,Bastar,414,Bastar,Bastar,9,Bastar,"[""Bastar""]",64200000,64200000,64200000,1,1,2,1,2,2,9,1,Narayanpur
401,2202,Surguja,401,Surguja,Surguja,9,Surguja,"[""Surguja""]",60200000,64500000,64500000,1,1,2,1,2,2,9,1,Surajpur
485,2418,Dahod,485,Dahod,Dahod,10,Dahod,"[""Dahod""]",72300000,72300000,72300000,1,1,1,1,3,2,9,1,
206,1004,Sitamarhi,206,Sitamarhi,Sitamarhi,8,Sitamarhi,"[""Sitamarhi""]",108400000,108400000,108400000,2,1,1,2,1,2,9,1,
319,1820,Bongaigaon,319,Bongaigaon,Bongaigaon,7,Bongaigaon,"[""Bongaigaon""]",212800000,213200000,213200000,2,1,1,1,2,2,9,1,Chirang
115,817,Barmer,115,Barmer ,Barmer,6,Barmer,"[""Barmer""]",302800000,302800000,302800000,3,1,1,1,2,1,9,1,
406,2207,Bilaspur,406,Bilaspur,Bilaspur,9,,,,,0,2,1,1,1,3,2,10,1,
280,1409,Chandel,280,Chandel,Chandel,8,,,,,0,3,2,1,1,2,1,10,1,
