census_code,id,dist_name,id(ours),dist_name(ors),,,,seperated from
366,2021,Gumla,366,Gumla,Gumla,Gumla,0,Simdega
458,2341,Guna,458,Guna,Guna,Guna,2,Ashoknagar
548,3707,Guntur,548,Guntur,Guntur,Guntur,24,
35,301,Gurdaspur,35,Gurdaspur,,Gurdaspur,23,
86,618,Gurgaon,86,Gurgaon,Gurgaon,Gurgaon,275,Mewat 
421,2304,Gwalior,421,Gwalior,Gwalior,Gwalior,2,
318,1819,Hailakandi,318,Hailakandi,Hailakandi,Hailakandi,1,
28,206,Hamirpur,28,Hamirpur,Hamirpur,Hamirpur,2,
168,937,Hamirpur,168,Hamirpur,,Hamirpur,0,
100,802,Hanumangarh,100,Hanumangarh ,Hanumangarh,Hanumangarh,0,
448,2331,Harda,448,Harda,,Harda,0,
155,924,Hardoi,155,Hardoi,Hardoi,Hardoi,0,
68,513,Haridwar,68,Hardwar,Haridwar,Haridwar,232,
574,2920,Hassan,574,Hassan,Hassan,Hassan,17,
144,913,Hathras,144,Hathras,,Hathras,0,
564,2910,Haveri,564,Haveri,Haveri,Haveri,2,
360,2015,Hazaribagh,360,Hazaribagh,Hazaribagh,Hazaribagh,13,Ramgarh
512,2716,Hingoli,512,Hingoli,,Hingoli,0,
80,612,Hisar,80,Hisar,Hisar,Hisar,6,
338,1912,Hooghly,338,Hugli ,Hooghly,Hooghly,28,
449,2332,Hoshangabad,449,Hoshangabad,Hoshangabad,Hoshangabad,8,
38,304,Hoshiarpur,38,Hoshiarpur,Hoshiarpur,Hoshiarpur,32,
341,1915,Howrah,341,Howrah,Howrah,Howrah,78,
536,3605,Hyderabad,536,Hyderabad,Hyderabad,Hyderabad,179,"Medchal, Sangareddy"
596,3209,Idukki,596,Idukki ,Idukki,Idukki,3,
278,1407,Imphal East,278,Imphal East,Imphal East,Imphal East,0,
277,1406,Imphal West,277,Imphal West,,Imphal West,0,
439,2322,Indore,439,Indore,Indore,Indore,50,
451,2334,Jabalpur,451,Jabalpur,Jabalpur,Jabalpur,7,
380,2111,Jagatsinghpur,380,Jagatsinghapur ,,Jagatsinghpur,2,
110,812,Jaipur,110,Jaipur ,Jaipur,Jaipur,144,
114,816,Jaisalmer,114,Jaisalmer,Jaisalmer,Jaisalmer,38,
382,2113,Jajpur,382,Jajapur  ,Jajpur,Jajapur,33,
37,303,Jalandhar,37,Jalandhar,Jalandhar,Jalandhar,24,
165,934,Jalaun,165,Jalaun ,,Jalaun,0,
499,2703,Jalgaon,499,Jalgaon,Jalgaon,Jalgaon,35,
514,2718,Jalna,514,Jalna,Jalna,Jalna,0,
116,818,Jalore,116,Jalor,Jalore,Jalore,2,
328,1902,Jalpaiguri,328,Jalpaiguri ,Jalpaiguri,Jalpaiguri,27,Alipurduar
21,121,Jammu,21,Jammu,Jammu,Jammu,33,Samba
477,2410,Jamnagar,477,Jamnagar,Jamnagar,Jamnagar,76,
238,1036,Jamui,238,Jamui,Jamui,Jamui,0,
405,2206,Janjgir-Champa,405,Janjgir - Champa,,Janjgir-Champa,2,
402,2203,Jashpur,402,Jashpur ,Jashpur,Jashpur,0,
194,963,Jaunpur,194,Jaunpur,Jaunpur,Jaunpur,8,
239,1037,Jehanabad,239,Jehanabad ,Jehanabad,Jehanabad,0,
464,2347,Jhabua,464,Jhabua,Jhabua,Jhabua,0,Alirajpur
83,615,Jhajjar,83,Jhajjar,Jhajjar,Jhajjar,16,
129,831,Jhalawar,129,Jhalawar,Jhalawar,Jhalawar,1,
166,935,Jhansi,166,Jhansi,Jhansi,Jhansi,2,
371,2102,Jharsuguda,371,Jharsuguda,Jharsuguda,Jharsuguda,3,
103,805,Jhunjhunu,103,Jhunjhunun,Jhunjhunu,Jhunjhunu,2,
77,609,Jind,77,Jind,Jind,Jind,0,
113,815,Jodhpur,113,Jodhpur,Jodhpur,Jodhpur,11,
312,1813,Jorhat,312,Jorhat,Jorhat,Jorhat,2,
479,2412,Junagadh,479,Junagadh,Junagadh,Junagadh,8,
468,2401,Kachchh,468,Kachchh,Kachchh,Kachchh,177,
233,1031,Kaimur,233,Kaimur (Bhabua),Kadapa,Kaimur,0,
73,605,Kaithal,73,Kaithal,Kaithal,Kaithal,0,
395,2126,Kalahandi,395,Kalahandi,Kalahandi,Kalahandi,1,
321,1822,Kamrup,321,Kamrup,Kamrup,Kamrup,111,Kamrup Metropolitan
604,3303,Kanchipuram,604,Kancheepuram,Kanchipuram,Kanchipuram,140,
