census_code,id,dist_name,id(ours),dist_name(ors),ASSET_2019,BF_2019,CHH_2019,FC_2019,MSL_2019,MSW_2019,Aggregate_2019,ADI_Level,seperated from
328,1902,Jalpaiguri,328,Jalpaiguri ,2,3,1,1,2,1,10,1,
329,1903,Cooch Behar,329,Koch Bihar ,2,2,1,1,2,2,10,1,
330,1904,Uttar Dinajpur,330,Uttar Dinajpur,2,1,1,2,2,2,10,1,
331,1905,Dakshin Dinajpur,331,Dakshin Dinajpur,2,2,1,2,2,2,11,2,
332,1906,Malda,332,Maldah ,2,1,1,2,2,2,10,1,
333,1907,Murshidabad,333,Murshidabad ,2,1,1,2,2,2,10,1,
334,1908,Birbhum,334,Birbhum,2,1,2,2,2,2,11,2,
335,1909,Bardhaman,335,Barddhaman ,3,3,2,3,3,3,17,3,
336,1910,Nadia,336,Nadia ,2,2,1,2,2,2,11,2,
337,1911,North 24 Parganas,337,North Twenty Four Parganas,3,3,3,3,3,3,18,3,
338,1912,Hooghly,338,Hugli ,3,3,3,3,3,3,18,3,
339,1913,Bankura,339,Bankura ,2,1,1,2,2,2,10,1,
340,1914,Purulia,340,Puruliya,2,1,1,1,2,2,9,1,
341,1915,Howrah,341,Howrah,3,3,3,3,3,3,18,3,
342,1916,Kolkata,342,Kolkata,3,3,3,3,3,3,18,3,
343,1917,South 24 Parganas,343,South Twenty Four Parganas,2,2,3,3,2,3,15,3,
344,1918,West Medinipur,344,Medinipur,2,3,2,2,3,2,14,2,"Purba Medinipur, Paschim Medinipur"
346,2001,Garhwa,346,Garhwa ,1,1,1,1,1,2,7,1,
347,2002,Chatra,347,Chatra,1,1,1,1,1,2,7,1,
348,2003,Koderma,348,Kodarma,3,1,2,1,2,1,10,1,
349,2004,Giridih,349,Giridih,1,1,2,1,1,1,7,1,
350,2104,Deogarh,350,Deoghar,2,1,1,2,2,2,10,1,
351,2006,Godda,351,Godda,1,1,1,2,1,2,8,1,
352,2007,Sahibganj,352,Sahibganj,2,1,1,2,2,2,10,1,
353,2008,Pakur,353,Pakur,2,1,2,2,2,2,11,2,
354,2009,Dhanbad,354,Dhanbad,3,3,2,3,3,1,15,3,
355,2010,Bokaro,355,Bokaro,3,1,2,2,2,1,11,2,
356,2011,Lohardaga,356,Lohardaga,1,1,1,1,1,1,6,1,
357,2012,East Singhbhum,357,East Singhbhum,3,3,2,3,3,3,17,3,
358,2013,Palamu,358,Palamu,1,1,1,1,1,2,7,1,Latehar
360,2015,Hazaribagh,360,Hazaribagh,3,1,2,2,2,1,11,2,Ramgarh
