census_code,id,dist_name,id(ours),dist_name(ors),,,,ASSET_2019,BF_2019,CHH_2019,FC_2019,MSL_2019,MSW_2019,Aggregate_2019,ADI_Level,seperated from
630,3329,Dharmapuri,630,Dharmapuri,Dharmapuri,"[""Dharmapuri""]",25200000,3,3,3,1,3,3,16,3,Krishnagiri
,,,,,Krishnagiri,"[""Krishnagiri""]",64200000,,,,,,,,,
562,2908,Dharwad,562,Dharwad,Dharwad,"[""Dharwad""]",80000000,3,3,3,3,3,3,18,3,
106,808,Dhaulpur,106,Dhaulpur,Dhaulpur,"[""Dholpur"",""Dhaulpur""]",1800000,3,1,2,2,3,2,13,2,
308,1809,Dhemaji,308,Dhemaji,Dhemaji,"[""Dhemaji""]",1000000,2,1,1,1,1,2,8,1,
383,2114,Dhenkanal,383,Dhenkanal,Dhenkanal,"[""Dhenkanal""]",35600000,2,2,1,1,3,1,10,1,
301,1802,Dhubri,301,Dhubri,Dhubri,"[""Dhubri""]",37100000,2,1,1,1,2,2,9,1,
498,2702,Dhule,498,Dhule,Dhule,"[""Dhule""]",52700000,2,1,3,1,3,3,13,2,
257,1213,Dibang Valley,257,Dibang Valley,Dibang Valley,"[""Dibang Valley""]",1300000,3,2,3,1,3,3,15,3,Lower Dibang Valley
,,,,,Lower Dibang Valley,"[""Lower Dibang Valley""]",1100000,,,,,,,,,
310,1811,Dibrugarh,310,Dibrugarh,Dibrugarh,"[""Dibrugarh""]",61000000,3,3,2,1,2,3,14,2,
315,1816,Dima Hasao,315,Dima Hasao,,,,2,2,1,1,3,1,10,1,
265,1305,Dimapur,265,Dimapur ,Dimapur,"[""Dimapur""]",5000000,3,3,3,3,3,1,16,3,
612,3311,Dindigul,612,Dindigul,Dindigul,"[""Dindigul""]",53900000,3,1,3,1,3,3,14,2,
453,2336,Dindori,453,Dindori ,Dindori,"[""Dindori""]",7900000,1,1,2,1,1,2,8,1,
494,2501,Diu,494,Diu,,,,3,3,3,3,3,3,18,3,
16,116,Doda,16,Doda,Doda,"[""Doda""]",0,1,2,2,1,3,3,12,2,"Ramban, Kishtwar"
,,,,,Ramban,"[""Ramban""]",0,,,,,,,,,
362,2017,Dumka,362,Dumka,Dumka,"[""Dumka""]",3700000,1,1,1,1,1,2,7,1,Jamtara
124,826,Dungarpur,124,Dungarpur ,Dungarpur,"[""Dungarpur""]",21700000,1,1,1,1,2,2,8,1,
409,2210,Durg,409,Durg,Durg,"[""Durg""]",123900000,3,2,3,1,3,2,14,2,
93,705,Delhi,93,east delhi,East Delhi,"[""East Delhi""]",1231800000,3,3,3,3,3,3,18,3,
294,1702,East Garo Hills,294,East Garo Hills,,,,1,2,2,1,2,2,10,1,
545,3704,East Godavari,545,East Godavari,East Godavari,"[""East Godavari""]",71500000,3,2,3,1,3,3,15,3,
247,1203,East Kameng,247,East Kameng,East Kameng,"[""East Kameng""]",1100000,2,1,1,1,3,3,11,2,
