city/ town/ tehsil,district,constituency,No of factories
"kanchipuram, KANCHEEPURAM ","kanchipuram, KANCHEEPURAM ",kanchipuram,127
siruseri,chengalpattu,kanchipuram,3
chamba,chamba,kangra,3
kangra,kangra,kangra,244
sanjpoi,chamba,kangra,1
kannur,kannur,kannur,1
"kanpur, kanpur dehat , kanpur nagar ","kanpur, kanpur dehat , kanpur nagar ",kanpur,32
"kanyakumari, KANNIYAKUMARI ","kanyakumari, KANNIYAKUMARI ",kanyakumari,26
hailakandi,hailakandi,karimganj,2
karimnagar,karimnagar,karimnagar,29
karnal,karnal,karnal,6
panipat,panipat,karnal,6
karur,karur,karur,6
vadamadurai,dindigul,karur,2
joda,Kendujhar,keonjhar,2
"kendujhar, KEONJHAR ","kendujhar, KEONJHAR ",keonjhar,38
kapurthala,kapurthala,khadoor sahib,4
rawan,kapurthala,khadoor sahib,1
tarn taran,tarn taran,khadoor sahib,1
chhatarpur,chhatarpur,khajuraho,1
katni,katni,khajuraho,6
khammam,khammam,khammam,20
warangal,warangal,khammam,11
khargone,khargone,khargone,9
relwa khurd,barwani,khargone,2
kheda,kheda,kheda,1
khunti,khunti,khunti,1
salakati,kokrajhar,kokrajhar,6
kolar,kolar,kolar,10
karveer,Kolhapur,kolhapur,1
kolhapur,kolhapur,kolhapur,54
"kolkata, KOLKATA DAKSHIN ","kolkata, KOLKATA DAKSHIN ",kolkata dakshin,100
"kolkata, KOLKATA UTTAR ","kolkata, KOLKATA UTTAR ",kolkata uttar,98
koppal,koppal,koppal,9
koraput,koraput,koraput,1
rayagada,rayagada (OD),koraput,2
korba,korba,korba,9
koriya,koriya,korba,2
kota,kota,kota,13
kottayam,kottayam,kottayam,5
nandigama,krishna,krishna,1
hosur,Krishnagiri,Krishnagiri,17
jujuvadi,Krishnagiri,Krishnagiri,2
"krishnagiri, krisnagiri ","krishnagiri, krisnagiri ",Krishnagiri,4
moranapalli,Krishnagiri,Krishnagiri,1
kosigi,kurnool,kurnool,1
kurnool,kurnool,kurnool,39
"kushinagar, KUSHI NAGAR ","kushinagar, KUSHI NAGAR ",kushinagar,3
alchi,leh,ladakh,15
chutak,Kargil,ladakh,1
salal,reasi (JK),ladakh,1
"lakhimpur, lakhimpur kheri ","lakhimpur, lakhimpur kheri ",lakhimpur,3
latur,latur,latur,1
lohardaga,lohardaga,lohardaga,1
lucknow,lucknow,lucknow,39
ludhiana,ludhiana,ludhiana,60
gannavaram,Krishna,machilipatnam,1
pamarru,krishna,machilipatnam,2
koshi,saharsa,madhepura,1
madhubani,madhubani,madhubani,1
madurai,madurai,madurai,40
paravai,madurai,madurai,1
hanwada,Mahbubnagar,mahabubnagar,1
mahabubnagar,mahabubnagar,mahabubnagar,18
sarapaka,khammam,mahbubabad,1
nawabpet,vikarabad,mahbubnagar,1
"mehsana, MAHESANA ","mehsana, MAHESANA ",mahesana,22
farakka,Murshidabad,maldaha dakshin,6
aliabad,ranga reddy,malkajgiri,2
kotli,kotli,mandi,1
kullu,kullu,mandi,4
mandi,mandi,mandi,1
"mandal, MANDLA ","mandal, MANDLA ",mandla,6
"mandsaur, MANDSOUR ","mandsaur, MANDSOUR ",mandsour,2
neemuch,neemuch,mandsour,1
mandya,mandya,mandya,3
darrang,darrang,mangaldoi,2
udalguri,udalguri,mangaldoi,7
gauhari,Mathura,mathura,4
mathura,mathura,mathura,8
pujali m,South 24 Parganas,mathurapur,3
south 24 parganas,south 24 parganas,mathurapur,17
khopoli,Raigarh(MH),maval,3
sangavi,pune,maval,1
varale,pune,maval,2
mayurbhanj,mayurbhanj,mayurbhanj,3
borpatla,Medak,medak,1
medak,medak,medak,114
patancheru,medak,medak,5
sangareddy,sangareddy,medak,1
kharagpur,Paschim Medinipur,medinipur,2
purba medinipur,purba medinipur,medinipur,25
west medinipur,west medinipur,medinipur,29
hapur,hapur,meerut,4
meerut,meerut,meerut,13
moradabad,moradabad,moradabad,13
morena,morena,morena,8
"mumbai, MUMBAI NORTH ","mumbai, MUMBAI NORTH ",mumbai north,60
"mumbai city, MUMBAI NORTH CENTRAL ","mumbai city, MUMBAI NORTH CENTRAL ",mumbai north central,60
"mumbai suburban, MUMBAI NORTH EAST ","mumbai suburban, MUMBAI NORTH EAST ",mumbai north east,61
"mumbai, MUMBAI NORTH WEST ","mumbai, MUMBAI NORTH WEST ",mumbai north west,61
"mumbai, MUMBAI SOUTH ","mumbai, MUMBAI SOUTH ",mumbai south,60
"mumbai, MUMBAI SOUTH CENTRAL ","mumbai, MUMBAI SOUTH CENTRAL ",mumbai south central,61
munger,munger,munger,1
murshidabad,murshidabad,murshidabad,1
muzaffarnagar,muzaffarnagar,muzaffarnagar,12
muzaffarpur,muzaffarpur,muzaffarpur,3
ilavala hobli,Mysore,mysore,2
kodagu,"kodagu, Coorg",mysore,1
mysore,mysore,mysore,86
nabarangpur,nabarangpur,nabarangpur,1
mon,mon,nagaland,1
nagapattinam,nagapattinam,nagapattinam,8
kalwakurthy,Nagarkurnool,Nagarkurnool,1
noorpur dehat,saharanpur,nagina,2
