CIN,COMPANY,AMOUNT,DISTRICT
U25199TN1990PTC019280,COASTAL RUBBER EQUIPMENT PRIVATE LIMITED,500000,CHENNAI
U25199WB1976PLC030532,TEGA INDUSTRIES LIMITED,4100000,KOLKATA
U25199WB1976PLC030532,TEGA INDUSTRIES LIMITED,2300000,KOLKATA
U25200MH1997PLC240268,SUN PHARMA LABORATORIES LIMITED,42500000,ALLAHABAD
U25200MH1997PLC240268,SUN PHARMA LABORATORIES LIMITED,100000,ALWAR
U25200MH1997PLC240268,SUN PHARMA LABORATORIES LIMITED,52100000,MUMBAI CITY
U25200MH1997PLC240268,SUN PHARMA LABORATORIES LIMITED,3000000,VALSAD
U25200MH1998PTC113786,EVONIK INDIA PRIVATE LIMITED,1100000,MUMBAI CITY
U25200TN2008PLC068513,HARITA FEHRER LIMITED,3500000,PUNE
U25200TN2008PLC068513,HARITA FEHRER LIMITED,5400000,PUNE
U25202AS2004PTC007382,ABDOS LAMITUBES PRIVATE LIMITED,1900000,KOLKATA
U25202GJ2004PTC043769,MAYUR WOVENS PRIVATE LIMITED,2200000,AHMEDABAD
U25202MH1985PLC036120,SHANKAR PACKAGINGS LIMITED,600000,VADODARA
U25202MP2007PLC019781,VECTUS INDUSTRIES LIMITED,1800000,GWALIOR
U25202MP2007PLC019781,VECTUS INDUSTRIES LIMITED,1100000,MORENA
U25202MP2007PLC019781,VECTUS INDUSTRIES LIMITED,200000,MORENA
U25206CH1987PLC007744,MOHAN FIBRE PRODUCTS LTD,4400000,CHANDIGARH
U25209DD2008PTC004669,CELLO TIPS AND PENS PRIVATE LIMITED,300000,HARIDWAR
U25209GJ1973PLC002235,DUTRON PLASTICS LIMITED,300000,KHEDA
U25209GJ2007PTC049943,RISHI FIBC SOLUTIONS PRIVATE LIMITED,300000,BANGALORE URBAN
U25209GJ2007PTC049943,RISHI FIBC SOLUTIONS PRIVATE LIMITED,500000,HARIDWAR
U25209GJ2007PTC049943,RISHI FIBC SOLUTIONS PRIVATE LIMITED,10800000,VADODARA
U25209GJ2007PTC049943,RISHI FIBC SOLUTIONS PRIVATE LIMITED,7300000,VADODARA
U25209MH1986PLC041294,POLYNOVA INDUSTRIES LIMITED,1700000,DHULE
U25209MH1991PLC060602,KRYFS POWER COMPONENTS LIMITED,200000,AHMEDABAD
U25209MH1991PLC060602,KRYFS POWER COMPONENTS LIMITED,100000,JAIPUR
U25209MH1991PLC060602,KRYFS POWER COMPONENTS LIMITED,200000,PUNE
U25209MH1991PLC060602,KRYFS POWER COMPONENTS LIMITED,100000,VALSAD
U25209MH1994PLC083816,CREATIVE PROPACK LIMITED,100000,HISAR
U25209MH1995PTC090037,VARROC POLYMERS PRIVATE LIMITED,1600000,AURANGABAD
U25209MH1995PTC090037,VARROC POLYMERS PRIVATE LIMITED,3800000,PUNE
U25209RJ2005PTC020449,HARMONY PLASTICS PRIVATE LIMITED,700000,UDAIPUR
U25209RJ2005PTC020449,HARMONY PLASTICS PRIVATE LIMITED,700000,UDAIPUR
U25209RJ2005PTC020449,HARMONY PLASTICS PRIVATE LIMITED,400000,UDAIPUR
U25209TG1995PLC019993,LAMTUF PLASTICS LIMITED,200000,HYDERABAD
U25209TN1992PLC022490,NATIONAL POLYPLAST (INDIA) LIMITED,600000,CHENNAI
U25209TN2000PTC096087,TOSHIBA MACHINE (CHENNAI) PRIVATE LIMITED,1000000,CHENNAI
U26100MH1994PTC083938,SCHOTT KAISHA PRIVATE LIMITED,200000,BHARUCH
U26100MH1994PTC083938,SCHOTT KAISHA PRIVATE LIMITED,100000,BHARUCH
U26100MH1994PTC083938,SCHOTT KAISHA PRIVATE LIMITED,1900000,DAMAN
U26100MH1994PTC083938,SCHOTT KAISHA PRIVATE LIMITED,2400000,DAMAN
U26100MH1994PTC083938,SCHOTT KAISHA PRIVATE LIMITED,500000,MUMBAI CITY
U26100MH1994PTC083938,SCHOTT KAISHA PRIVATE LIMITED,100000,MUMBAI CITY
U26102WB1996PLC080099,GOA GLASS FIBRE LIMITED,200000,NORTH GOA
