CIN,COMPNAME,PPNAME,CC
U70101WB1990PTC049088,SHRI PARAS CONSTRUCTION PVT. LTD.,Bharatiya Janta Party,1
U74999MH2010PLC207578,NAVKAR TERMINALS LIMITED,Bharatiya Janta Party,1
U14101MH1941PTC003266,NEW INDIA MINING CORPORATION PVT LTD,Bharatiya Janta Party,1
U65990MH1983PLC030597,KAMALJYOT INVESTMENTS LIMITED,Bharatiya Janta Party,1
U45201MH2001PTC132977,RUSTOMJEE DEVELOPMENTS PRIVATE LIMITED,Bharatiya Janta Party,1
U45200MH1993PTC072585,PATHARE CONSTRUCTIONS AND INVESTMENTS PVT LTD,Bharatiya Janta Party,1
U40108ML2002PLC006921,MEGHALAYA POWER LIMITED,Bharatiya Janta Party,1
U70100MH2005PTC156869,BANSI MALL MANAGEMENT COMPANY PRIVATE LIMITED,Bharatiya Janta Party,1
U55101GA1989PLC000966,TRADE WINGS HOTELS LIMITED.,Bharatiya Janta Party,1
L36910MH1995PLC086017,ASIAN STAR COMPANY LIMITED,Bharatiya Janta Party,1
L27104MH1985PLC035806,UTTAM GALVA STEELS LIMITED,Bharatiya Janta Party,1
L45200MH1999PLC118949,MAHINDRA LIFESPACE DEVELOPERS LIMITED,Bharatiya Janta Party,1
U17119GJ1986PTC008873,PARAS PRINTS PVT LTD,Bharatiya Janta Party,1
U67120MH1995PTC089788,KANTILAL CHHAAGANLAL SECURITIES PRIVATE LIMITED,Bharatiya Janta Party,1
U45201GJ2003PTC042777,VISHWA INFRAPROJECTS PRIVATE LIMITED,Bharatiya Janta Party,1
L17110GJ1988PLC010504,AARVEE DENIMS AND EXPORTS LTD,Bharatiya Janta Party,1
U51420MH2004PTC146381,TOPWORTH STEELS AND POWER PRIVATE LIMITED,Bharatiya Janta Party,1
U55101UR1986PLC007811,SHIPRA HOTELS LIMITED,Bharatiya Janta Party,1
U55101TN1990PTC018962,RADHA REGENT HOTELS PRIVATE LIMITED,Bharatiya Janta Party,1
U24240GJ1980PLC003670,NIRMA LIMITED,Bharatiya Janta Party,1
U74899DL1978PTC008881,NAARI PHARMA PRIVATE LIMITED,Bharatiya Janta Party,1
L17115HR1993PLC032108,RICHA INDUSTRIES LIMITED,Bharatiya Janta Party,1
U15201TG1986PLC006912,CREAMLINE DAIRY PRODUCTS LTD.,Bharatiya Janta Party,1
U24100MH1978PTC020113,NAVDEEP CHEMICALS PRIVATE LIMITED,Bharatiya Janta Party,1
U24110GJ1991PTC016723,SUYOG DYE CHEMIE PVT LTD,Bharatiya Janta Party,1
U45200GJ1999PLC036877,KETAN CONSTRUCTION LIMITED,Bharatiya Janta Party,1
U24230GJ2005PLC046915,ALIDAC PHARMACEUTICALS LIMITED,Bharatiya Janta Party,1
L24110GJ1989PLC011989,DYNAMIC INDUSTRIES LIMITED,Bharatiya Janta Party,1
U45200GJ2005PLC046616,DHARMADEV INFRASTRUCTURE LIMITED,Bharatiya Janta Party,1
L27205WB1985PLC038901,LUCKY GOLD STAR COMPANY LTD,Bharatiya Janta Party,1
U51101MP1984PTC002561,APOLLO CREATIONS PVT LTD,Bharatiya Janta Party,1
L17111TN1946PLC003270,VTM LIMITED,Bharatiya Janta Party,1
L74210WB1964PLC026284,TANTIA CONSTRUCTIONS LTD,Bharatiya Janta Party,1
U31909GJ1982PLC005777,SUYOG ELECTRICALS LIMITED,Bharatiya Janta Party,1
U24239GJ2000PLC075267,ZYDUS ANIMAL HEALTH LIMITED,Bharatiya Janta Party,1
U99999MH1996PLC132983,INDIA INFOLINE LIMITED,Bharatiya Janta Party,1
U45200MH2003PTC143256,DARSHAN DEVELOPERS PRIVATE LIMITED,Bharatiya Janta Party,1
U29120MH2005PTC157395,TOPWORTH PIPES & TUBES PRIVATE LIMITED,Bharatiya Janta Party,1
U74140WB1992PTC054381,RKB SERVICES PVT LTD,Bharatiya Janta Party,1
L51109WB1974PLC029637,IFB INDUSTRIES LTD,Bharatiya Janta Party,1
U29253MH2011PTC215859,BRAHM PRECISION MATERIALS PRIVATE LIMITED,Bharatiya Janta Party,1
L74899DL1985PLC019749,MEFCOM CAPITAL MARKETS LIMITED,Bharatiya Janta Party,1
U70101MH1977PTC019903,IDEAL ROAD BUILDERS PRIVATE LIMITED,Bharatiya Janta Party,1
U70200GJ2013PTC073198,AMITARA GREEN HI-TECH TEXTILES PARK PRIVATE LIMITED,Bharatiya Janta Party,1
L01551KA1999PLC024991,UNITED SPIRITS LIMITED,Bharatiya Janta Party,1
L28991MH1965PLC013188,JAIPAN INDUSTRIES LIMITED,Bharatiya Janta Party,1
L24239MH1935PLC002380,CIPLA LIMITED,Bharatiya Janta Party,1
U70109DL1992PTC047505,LNK INFRASTRUCTURE PRIVATE LIMITED,Bharatiya Janta Party,1
U45200GJ2006PLC048119,CUBE CONSTRUCTION ENGINEERING LIMITED,Bharatiya Janta Party,1
U99999MH1946PLC005378,RASHTRIYA METAL INDUSTRIES LIMITED,Bharatiya Janta Party,1
L51909WB1986PLC040098,GUJARAT NRE COKE LTD,Bharatiya Janta Party,1
U74140WB1979PLC032247,BIRLA EASTERN LIMITED,Bharatiya Janta Party,1
L36911KA1995PLC017077,RAJESH EXPORTS LIMITED,Bharatiya Janta Party,1
U01403DL1997PLC135852,CRYSTAL PHOSPHATES LIMITED,Bharatiya Janta Party,1
L63020DL1992PLC121695,SINDHU TRADE LINKS LIMITED,Bharatiya Janta Party,1
U70101GJ2009PTC058784,OZONE TUSCANY PRIVATE LIMITED,Bharatiya Janta Party,1
U65100MH1995PTC093240,VENUS PORTFOLIO & FINANCE PRIVATE LIMITED,Bharatiya Janta Party,1
U15209DL2005PLC135838,DAAWAT FOODS LIMITED,Bharatiya Janta Party,1
U74899DL1991PLC044843,MANKIND PHARMA LIMITED,Bharatiya Janta Party,1
L28920MH1998PLC115155,SUNIL HITECH ENGINEERS LIMITED,Bharatiya Janta Party,1
U72990UR1979PTC000971,SBL PRIVATE LIMITED,Bharatiya Janta Party,1
U24230MH2004PTC149202,K PATEL PHYTO EXTRACTIONS PRIVATE LIMITED,Bharatiya Janta Party,1
L51900MH1986PLC041062,NIKHIL ADHESIVES LIMITED,Bharatiya Janta Party,1
L92132MH1982PLC028767,ZEE ENTERTAINMENT ENTERPRISES LIMITED,Bharatiya Janta Party,1
U21010MH1990PLC057464,SHAH PAPER MILLS LIMITED,Bharatiya Janta Party,1
U45201GJ2002PTC040945,VENUS INFRASTRUCTURE AND DEVELOPERS PRIVATE LIMITED,Bharatiya Janta Party,1
U25202MH1986PLC038626,CLEAR MIPAK PACKAGING SOLUTIONS LIMITED,Bharatiya Janta Party,1
U25209MH1991PLC060602,KRYFS POWER COMPONENTS LIMITED,Bharatiya Janta Party,1
U51909GJ1960PTC000996,SHAH INDUSTRIES PVT LTD,Bharatiya Janta Party,1
L99999DN1982PLC000128,JBF INDUSTRIES LIMITED,Bharatiya Janta Party,1
U40107MH2008PLC177471,LOUROUX BIO ENERGIES LIMITED,Bharatiya Janta Party,1
U65993MH1989PTC253360,NISHANT FINANCE PVT. LTD.,Bharatiya Janta Party,1
U70109DL2006PTC151295,ORRIS INFRASTRUCTURE PRIVATE LIMITED,Bharatiya Janta Party,1
L17290GJ2005PLC046345,PRADIP OVERSEAS LIMITED,Bharatiya Janta Party,1
