,Unnamed: 0,Constituency,state,Type,Margin %,isMPMinister,centerAlignment,stateAlignment,rs_min_mplad_district,is_backward,ministry_comp_intersection,amount,non_backward,not_aligned,Total,Totalcsr
91,91,BHANDARA-GONDIYA,MAHARASHTRA,GEN,12.5,0.0,1,1,0,0,0,530000000,1,0,11,1.0
92,92,BHARATPUR,RAJASTHAN,SC,25.5,0.0,1,1,0,0,0,9680000000,1,0,110,5.0
93,93,BHARUCH,GUJARAT,GEN,14.5,1.0,1,1,0,1,0,19830000000,0,0,860,18.0
94,94,BHAVNAGAR,GUJARAT,GEN,32.2,0.0,1,1,0,0,0,2070000000,1,0,29,1.0
95,95,BHILWARA,RAJASTHAN,GEN,22.3,0.0,1,1,0,0,0,8120000000,1,0,8,2.0
96,96,BHIND,MADHYA PRADESH,SC,21.9,0.0,1,1,0,0,0,9810000000,1,0,12,0.0
97,97,BHIWANDI,MAHARASHTRA,GEN,12.5,0.0,1,1,0,0,0,18690000000,1,0,335,14.0
98,98,BHIWANI-MAHENDRAGARH,HARYANA,GEN,12.6,0.0,1,1,0,0,0,1600000000,1,0,3,1.0
99,99,BHONGIR,TELANGANA,GEN,2.5,0.0,0,1,0,0,0,5600000000,1,0,155,8.0
100,100,BHOPAL,MADHYA PRADESH,GEN,32.8,0.0,1,1,1,0,0,8820000000,1,0,96,5.0
101,101,BHUBANESWAR,ODISHA,GEN,21.2,0.0,0,1,0,0,0,850000000,1,0,36,0.0
102,102,BIDAR,KARNATAKA,GEN,9.6,0.0,1,0,0,1,0,1550000000,0,0,15,1.0
103,103,BIJAPUR,KARNATAKA,SC,7.2,0.0,1,0,0,0,0,1650000000,1,0,0,0.0
104,104,BIJNOR,UTTAR PRADESH,GEN,19.4,0.0,1,0,0,0,0,690000000,1,0,32,0.0
105,105,BIKANER,RAJASTHAN,SC,33.1,0.0,1,1,0,0,0,1220000000,1,0,27,0.0
106,106,BILASPUR,CHHATTISGARH,GEN,16.2,0.0,1,1,0,0,0,11290000000,1,0,30,1.0
107,107,BIRBHUM,WEST BENGAL,GEN,5.3,0.0,0,1,0,1,0,110000000,0,0,0,0.0
108,108,BISHNUPUR,WEST BENGAL,SC,11.8,0.0,0,1,0,0,0,310000000,1,0,36,0.0
109,109,BOLANGIR,ODISHA,GEN,8.9,0.0,0,1,0,1,0,0,0,0,1,0.0
110,110,BOLPUR,WEST BENGAL,SC,18.1,0.0,0,1,0,1,0,110000000,0,0,24,0.0
111,111,BULANDSHAHR,UTTAR PRADESH,SC,41.8,0.0,1,0,0,0,0,910000000,1,0,29,0.0
112,112,BULDHANA,MAHARASHTRA,GEN,16.3,0.0,1,1,0,0,0,400000000,1,0,2,0.0
113,113,BUXAR,BIHAR,GEN,14.9,0.0,1,1,0,0,0,0,1,0,4,1.0
114,114,CHALAKUDY,KERALA,GEN,1.6,0.0,0,0,0,0,0,25450000000,1,1,29,9.0
115,115,CHAMARAJANAGAR,KARNATAKA,SC,12.5,0.0,0,1,0,0,0,810000000,1,0,86,0.0
116,116,CHANDAULI,UTTAR PRADESH,GEN,16.0,0.0,1,0,0,1,0,4350000000,0,0,11,2.0
117,117,CHANDIGARH,CHANDIGARH,GEN,15.4,0.0,1,0,0,0,0,510000000,1,0,83,2.0
118,118,CHANDNI CHOWK,DELHI,GEN,13.9,1.0,1,0,0,0,0,3260000000,1,0,82,5.0
119,119,CHANDRAPUR,MAHARASHTRA,GEN,21.3,1.0,1,1,0,0,1,1690000000,1,0,18,2.0
120,120,CHATRA,JHARKHAND,GEN,25.0,0.0,1,1,0,1,0,0,0,0,5,0.0
121,121,CHENNAI CENTRAL,TAMIL NADU,GEN,5.6,0.0,0,1,0,0,0,116960000000,1,0,232,58.0
122,122,CHENNAI NORTH,TAMIL NADU,GEN,11.0,0.0,0,1,0,0,0,117020000000,1,0,366,59.0
123,123,CHENNAI SOUTH,TAMIL NADU,GEN,12.6,0.0,0,1,0,0,0,117700000000,1,0,362,58.0
124,124,CHEVELLA,TELANGANA,GEN,5.5,0.0,0,1,0,0,0,3740000000,1,0,114,1.0
125,125,CHHINDWARA,MADHYA PRADESH,GEN,10.5,0.0,0,0,1,0,0,160000000,1,1,12,0.0
126,126,CHHOTA UDAIPUR,GUJARAT,ST,16.3,0.0,1,1,0,1,0,9280000000,0,0,411,10.0
127,127,CHIDAMBARAM,TAMIL NADU,SC,11.8,0.0,0,1,0,0,0,11820000000,1,0,21,1.0
128,128,CHIKKBALLAPUR,KARNATAKA,GEN,0.8,0.0,0,1,0,0,0,47750000000,1,0,142,9.0
129,129,CHIKKODI,KARNATAKA,GEN,0.3,0.0,0,1,0,0,0,380000000,1,0,33,1.0
130,130,CHITRADURGA,KARNATAKA,SC,9.2,0.0,0,1,0,0,0,2110000000,1,0,50,4.0
131,131,CHITTOOR,ANDHRA PRADESH,SC,3.7,0.0,1,1,0,0,0,7470000000,1,0,46,4.0
132,132,CHITTORGARH,RAJASTHAN,GEN,27.0,0.0,1,1,0,0,0,8470000000,1,0,41,1.0
133,133,CHURU,RAJASTHAN,GEN,26.1,0.0,1,1,0,0,0,200000000,1,0,1,0.0
134,134,COIMBATORE,TAMIL NADU,GEN,3.6,0.0,0,1,0,0,0,16560000000,1,0,135,13.0
135,135,COOCHBEHAR,WEST BENGAL,SC,6.5,0.0,0,1,0,0,0,0,1,0,0,0.0
136,136,CUDDALORE,TAMIL NADU,GEN,20.6,0.0,0,1,0,0,0,11790000000,1,0,10,1.0
137,137,CUTTACK,ODISHA,GEN,31.3,0.0,0,1,0,0,0,3400000000,1,0,5,0.0
138,138,DADRA & NAGAR HAVELI,DADRA AND NAGAR HAVELI,GEN,3.8,0.0,1,0,0,0,0,0,1,0,449,0.0
139,139,DAHOD,GUJARAT,ST,25.6,0.0,1,1,0,0,0,30000000,1,0,39,1.0
140,140,DAKSHINA KANNADA,KARNATAKA,GEN,11.9,0.0,1,0,0,0,0,340000000,1,0,4,0.0
141,141,DAMAN & DIU,DAMAN AND DIU,GEN,10.6,0.0,1,0,0,0,0,0,1,0,112,0.0
142,142,DAMOH,MADHYA PRADESH,GEN,23.4,0.0,1,1,0,1,0,750000000,0,0,1,0.0
143,143,DARBHANGA,BIHAR,GEN,4.2,0.0,1,1,0,0,0,0,1,0,0,0.0
144,144,DARJEELING,WEST BENGAL,GEN,17.3,0.0,1,0,0,0,0,1440000000,1,0,26,0.0
145,145,DAUSA,RAJASTHAN,ST,4.9,0.0,1,1,0,0,0,23580000000,1,0,251,18.0
