ADI,ADI_Normalized,AmountFinal,AmountFinal_Normalized,Constituency,FactoriesFinal,FactoriesFinal_Normalized,Margin %,Margin%_Normalized,Total,Totalcsr,Type,amount,centerAlignment,isMPMinister,is_backward,ministry_comp_intersection,non_backward,not_aligned,rs_min_mplad_district,state,stateAlignment
8,0.090909090909091,0,0,ARARIA,0,0,15,0.266903914590747,0,0,GEN,0,0,0,1,0,0,1,0,BIHAR,0
9,0.181818181818182,0,0,ARRAH,0,0,15.2,0.270462633451957,0,0,GEN,0,1,0,0,0,1,0,0,BIHAR,1
8,0.090909090909091,0,0,AURANGABAD,0,0,8.4,0.149466192170819,249,10,GEN,710000000,1,0,1,0,0,0,0,BIHAR,1
8,0.090909090909091,1500000,0.00026515352389,BANKA,0,0,1.1,0.019572953736655,10,0,GEN,90000000,0,0,1,0,0,1,0,BIHAR,0
8,0.090909090909091,51100000,0.009032896713864,BEGUSARAI,2,0.002554278416347,5.4,0.096085409252669,2,0,GEN,100000000,1,0,1,0,0,0,0,BIHAR,1
8,0.090909090909091,2100000,0.000371214933446,BHAGALPUR,10,0.012771392081737,1,0.01779359430605,10,0,GEN,0,0,0,0,0,1,1,0,BIHAR,0
9,0.181818181818182,2500000,0.000441922539817,BUXAR,2,0.002554278416347,14.9,0.265124555160142,4,1,GEN,0,1,0,0,0,1,0,0,BIHAR,1
8,0.090909090909091,3500000,0.000618691555744,DARBHANGA,0,0,4.2,0.074733096085409,0,0,GEN,0,1,0,0,0,1,0,0,BIHAR,1
8,0.090909090909091,20900000,0.003694472432872,GAYA,1,0.001277139208174,14.3,0.254448398576513,3,0,SC,710000000,1,0,1,0,0,0,0,BIHAR,1
10,0.272727272727273,0,0,GOPALGANJ,0,0,31.8,0.565836298932384,0,0,SC,0,1,0,0,0,1,0,0,BIHAR,1
9,0.181818181818182,0,0,HAJIPUR,0,0,24.9,0.443060498220641,6,0,SC,0,0,1,0,0,1,1,0,BIHAR,0
11,0.363636363636364,11100000,0.001962136076788,JAHANABAD,0,0,5.2,0.092526690391459,3,0,GEN,870000000,1,0,1,0,0,0,0,BIHAR,0
10,0.272727272727273,500000,8.83845079634442E-05,JAMUI,0,0,11.1,0.197508896797153,1,0,SC,50000000,1,0,1,0,0,0,0,BIHAR,0
9,0.181818181818182,0,0,JHANJHARPUR,0,0,5.9,0.104982206405694,1,0,GEN,0,1,1,0,0,1,0,0,BIHAR,1
9,0.181818181818182,0,0,KARAKAT,0,0,13.3,0.236654804270463,248,10,GEN,0,1,1,1,0,0,0,0,BIHAR,0
8,0.090909090909091,0,0,KATIHAR,0,0,11.7,0.208185053380783,0,0,GEN,0,0,0,1,0,0,1,0,BIHAR,0
8,0.090909090909091,8000000,0.001414152127415,KHAGARIA,0,0,8.5,0.151245551601424,1,0,GEN,0,1,0,1,0,0,0,0,BIHAR,0
8,0.090909090909091,1900000,0.000335861130261,KISHANGANJ,0,0,21,0.373665480427046,0,0,GEN,0,0,0,1,0,0,1,0,BIHAR,0
8,0.090909090909091,11000000,0.001944459175196,MADHEPURA,1,0.001277139208174,5.4,0.096085409252669,0,0,GEN,0,0,0,0,0,1,1,0,BIHAR,0
8,0.090909090909091,0,0,MADHUBANI,1,0.001277139208174,2.4,0.04270462633452,1,0,GEN,0,1,0,0,0,1,0,0,BIHAR,1
10,0.272727272727273,0,0,MAHARAJGANJ,0,0,4.5,0.080071174377224,0,0,GEN,270000000,1,0,0,0,1,0,0,BIHAR,1
11,0.363636363636364,26600000,0.004702055823655,MUNGER,1,0.001277139208174,11.9,0.211743772241993,36,2,GEN,2430000000,1,0,0,1,1,0,1,BIHAR,0
8,0.090909090909091,45500000,0.008042990224673,MUZAFFARPUR,3,0.003831417624521,23.4,0.416370106761566,3,0,GEN,2460000000,1,0,1,0,0,0,0,BIHAR,1
8,0.090909090909091,9000000,0.001590921143342,NALANDA,2,0.002554278416347,1,0.01779359430605,0,0,GEN,280000000,1,0,0,0,1,0,0,BIHAR,1
8,0.090909090909091,0,0,NAWADA,0,0,15.8,0.281138790035587,0,0,GEN,0,1,1,1,0,0,0,0,BIHAR,1
8,0.090909090909091,16700000,0.002952042565979,PASCHIM CHAMPARAN,0,0,12.9,0.229537366548043,0,0,GEN,0,1,0,0,0,1,0,0,BIHAR,1
14,0.636363636363636,23800000,0.00420710257906,PATALIPUTRA,0,0,4.1,0.072953736654804,35,2,GEN,2380000000,1,1,0,1,1,0,1,BIHAR,1
14,0.636363636363636,68600000,0.012126354492585,PATNA SAHIB,36,0.045977011494253,30.1,0.5355871886121,35,2,GEN,2380000000,1,0,0,1,1,0,1,BIHAR,1
8,0.090909090909091,6300000,0.001113644800339,PURNIA,0,0,11.5,0.204626334519573,0,0,GEN,0,1,0,1,0,0,0,0,BIHAR,1
9,0.181818181818182,0,0,PURVI CHAMPARAN,0,0,23.4,0.416370106761566,0,0,GEN,0,1,1,0,0,1,0,0,BIHAR,1
8,0.090909090909091,12900000,0.002280320305457,SAMASTIPUR,1,0.001277139208174,0.8,0.01423487544484,1,0,SC,0,1,0,0,0,1,0,0,BIHAR,0
9,0.181818181818182,6400000,0.001131321701932,SARAN,0,0,4.7,0.083629893238434,0,0,GEN,270000000,1,1,0,0,1,0,0,BIHAR,1
9,0.181818181818182,0,0,SASARAM,4,0.005108556832695,7.5,0.133451957295374,2,0,SC,0,1,0,0,0,1,0,0,BIHAR,1
9,0.181818181818182,2000000,0.000353538031854,SHEOHAR,0,0,16.2,0.288256227758007,2,0,GEN,200000000,1,0,1,0,0,0,0,BIHAR,1
9,0.181818181818182,108400000,0.019161761326475,SITAMARHI,2,0.002554278416347,16.4,0.291814946619217,2,0,GEN,200000000,1,0,1,0,0,0,0,BIHAR,0
15,0.727272727272727,800000,0.000141415212742,SIWAN,0,0,12.9,0.229537366548043,0,0,GEN,0,1,0,0,0,1,0,0,BIHAR,1
8,0.090909090909091,0,0,SUPAUL,1,0.001277139208174,6.1,0.108540925266904,1,0,GEN,0,0,0,0,0,1,1,0,BIHAR,0
8,0.090909090909091,0,0,UJIARPUR,0,0,7,0.124555160142349,7,0,GEN,0,1,0,0,0,1,0,0,BIHAR,1
8,0.090909090909091,107400000,0.018984992310548,VAISHALI,6,0.007662835249042,10.7,0.190391459074733,9,0,GEN,2460000000,1,0,1,0,0,0,0,BIHAR,0
8,0.090909090909091,0,0,VALMIKI NAGAR,0,0,13.1,0.233096085409253,0,0,GEN,0,1,0,0,0,1,0,0,BIHAR,1
18,1,167300000,0.029573456364569,CHANDIGARH,1,0.001277139208174,15.4,0.274021352313167,83,2,GEN,510000000,1,0,0,0,1,0,0,CHANDIGARH,0
10,0.272727272727273,64200000,0.011348570822506,BASTAR,4,0.005108556832695,16.2,0.288256227758007,0,0,ST,360000000,1,0,1,0,0,0,0,CHHATTISGARH,1
17,0.909090909090909,122900000,0.021724912057415,BILASPUR,7,0.008939974457216,16.2,0.288256227758007,30,1,GEN,11290000000,1,0,0,0,1,0,0,CHHATTISGARH,1
14,0.636363636363636,133300000,0.023563309823054,DURG,26,0.033205619412516,1.3,0.023131672597865,26,1,GEN,5740000000,0,0,0,0,1,1,0,CHHATTISGARH,0
11,0.363636363636364,111200000,0.01965671457107,JANJGIR-CHAMPA,2,0.002554278416347,16.3,0.290035587188612,39,0,SC,10860000000,1,0,0,0,1,0,0,CHHATTISGARH,1
11,0.363636363636364,95300000,0.016846087217833,KANKER,0,0,3.5,0.062277580071174,26,1,ST,8070000000,1,0,1,0,0,0,0,CHHATTISGARH,1
13,0.545454545454545,1543200000,0.272789945378374,KORBA,11,0.014048531289911,0.4,0.00711743772242,41,2,GEN,23120000000,1,0,1,0,0,0,0,CHHATTISGARH,1
11,0.363636363636364,110100000,0.01946226865355,MAHASAMUND,0,0,0.1,0.001779359430605,36,0,GEN,11010000000,1,0,1,0,0,0,0,CHHATTISGARH,1
13,0.545454545454545,259000000,0.045783175125064,RAIGARH,32,0.040868454661558,17.4,0.309608540925267,33,1,ST,170000000,1,1,0,0,1,0,0,CHHATTISGARH,1
12,0.454545454545455,657200000,0.116172597267151,RAIPUR,35,0.044699872286079,13.7,0.243772241992882,37,0,GEN,10860000000,1,0,0,0,1,0,0,CHHATTISGARH,1
10,0.272727272727273,43300000,0.007654098389634,RAJNANDGAON,7,0.008939974457216,20,0.355871886120996,7,0,GEN,1510000000,1,0,1,0,0,0,0,CHHATTISGARH,1
8,0.090909090909091,64500000,0.011401601527284,SURGUJA,0,0,12.4,0.220640569395018,4,0,ST,650000000,1,0,0,0,1,0,0,CHHATTISGARH,1
